"created_at","screen_name","text","source","retweet_count","favorite_count"
2019-07-25 11:06:12,"realDonaldTrump","“Yesterday changed everything, it really did clear the President. He wins.” @ainsleyearhardt  “It changed everything in favor of the President, who said all along this investigation is rooted in nothing. Mueller was exposed as being best friends with Comey. Today, you say.....","Twitter for iPhone",20125,105342
2019-07-25 02:31:28,"realDonaldTrump","Appreciate it @LindseyGrahamSC, thank you! https://t.co/cGugEIXNOD","Twitter Media Studio",15661,60869
2019-07-25 02:22:15,"realDonaldTrump","Thank you @MarkLevinShow! https://t.co/j4Y4kjrmdf","Twitter Media Studio",12645,49898
2019-07-25 02:18:38,"realDonaldTrump",".@JaySekulow and @RudyGiuliani on @SeanHannity moments ago... https://t.co/Ecz4K3sOwh","Twitter Media Studio",10665,38977
2019-07-25 02:09:54,"realDonaldTrump","""THE WITCH HUNT IS OVER!"" @SeanHannity https://t.co/OUoIm4onJt","Twitter Media Studio",16200,62346
2019-07-25 02:06:15,"realDonaldTrump","Great job @ChrisPlanteShow! https://t.co/ouTaP7WdFn","Twitter Media Studio",9876,38950
2019-07-25 01:55:59,"realDonaldTrump","Thank you @TuckerCarlson @KimStrassel! https://t.co/kw9oGcRzrt","Twitter Media Studio",10403,42398
2019-07-25 00:58:21,"realDonaldTrump","Thank you Rep. @DevinNunes! https://t.co/sifmkN7HDz","Twitter for iPhone",20138,77023
2019-07-25 00:52:57,"realDonaldTrump","Thank you Rep. @Jim_Jordan! https://t.co/w9tF8xur44","Twitter for iPhone",21404,84838
2019-07-25 00:48:36,"realDonaldTrump","Thank you @RepDougCollins! https://t.co/Lwc2ns2mQt","Twitter for iPhone",14046,53461
2019-07-25 00:42:41,"realDonaldTrump","Thank you @GOPLeader McCarthy! https://t.co/0N4AeoRWK9","Twitter for iPhone",13774,54079
2019-07-24 23:33:09,"realDonaldTrump","https://t.co/q5tjNpEzH0","Twitter for iPhone",24245,79957
2019-07-24 22:45:49,"realDonaldTrump","“The Media’s Mueller Meltdown” @JesseBWatters https://t.co/EXdlk45ovU","Twitter for iPhone",12774,43605
2019-07-24 22:22:37,"realDonaldTrump","The Democrats lost so BIG today. Their Party is in shambles right now...https://t.co/WDnGSOFzZU","Twitter for iPhone",19309,79548
2019-07-24 22:18:23,"realDonaldTrump","The Democrats had nothing...
https://t.co/VUIMndS4lZ","Twitter for iPhone",14497,61738
2019-07-24 21:52:13,"realDonaldTrump","https://t.co/yoWCQLM8Ad","Twitter for iPhone",30301,103284
2019-07-24 21:45:06,"realDonaldTrump","“Impeachment’s over!”
@TerryMoran @ABCPolitics https://t.co/8J9ixCSnZC","Twitter for iPhone",13537,50855
